% Model:              task3.mph
% Version:            COMSOL 5.4.0.225
% Date:               Jul 20 2019, 14:11
% Dimension:          2
% Nodes:              262
% Expressions:        11
% Description:        Dependent variable u
% Length unit:        m
% X                       Y                        u (K) @ t=0              u (K) @ t=0.1            u (K) @ t=0.2            u (K) @ t=0.3            u (K) @ t=0.4            u (K) @ t=0.5            u (K) @ t=0.6            u (K) @ t=0.7            u (K) @ t=0.8            u (K) @ t=0.9            u (K) @ t=1
0.09999999999999999       0.05333333333333328      249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.07639620774689641       0.07451250708285934      349.8464423862669        235.35907384555279       235.35907382638592       235.3590738254343        235.35907382282895       235.3590738234391        235.35907382287152       235.35907382312735       235.35907382296747       235.35907382305223       235.35907382300414
0.07999999999999999       0.08000000000000002      347.21488746729455       224.70410520881822       224.70410519213826       224.70410519131005       224.7041051890427        224.70410518957374       224.70410518907985       224.7041051893024        224.70410518916324       224.70410518923714       224.70410518919525
0.0946808134025824        0.056640318654458226     350.5007122191832        250.7277023768219        250.72770237209974       250.72770237186523       250.7277023712234        250.72770237137368       250.7277023712339        250.727702371297         250.7277023712576        250.72770237127853       250.72770237126656
0.1                       0.05999999999999997      249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.08283813794011936       0.07451467566799219      349.8439565990293        234.6849693695772        234.6849693550071        234.68496935428365       234.68496935230317       234.684969352767         234.68496935233563       234.68496935253003       234.68496935240856       234.68496935247302       234.6849693524364
0.08666666666666666       0.08000000000000002      347.2651535426599        226.1291537707397        226.12915375919707       226.12915375862386       226.12915375705487       226.1291537574224        226.12915375708056       226.12915375723455       226.12915375713837       226.12915375718947       226.12915375716045
0.09478477003257457       0.06328904947463744      350.2831891150381        248.70127773998175       248.70127773535185       248.70127773512198       248.7012777344926        248.70127773463994       248.7012777345029        248.70127773456474       248.70127773452614       248.7012777345466        248.70127773453495
0.10000000000000002       0.06666666666666665      249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.0897346794531671        0.07396889928306569      349.72658244715416       238.05282140349203       238.05282139449758       238.05282139405088       238.05282139282824       238.0528213931147        238.0528213928483        238.05282139296833       238.05282139289335       238.05282139293325       238.05282139291052
0.09333333333333332       0.08000000000000002      347.70333168259066       232.12515008973824       232.1251500838379        232.12515008354492       232.12515008274286       232.12515008293073       232.12515008275602       232.12515008283466       232.12515008278547       232.1251500828117        232.12515008279675
0.09497982498926498       0.06987727513407518      349.73947308658313       245.79649207418296       245.79649206972536       245.796492069504         245.79649206889806       245.79649206903994       245.796492068908         245.79649206896747       245.79649206893032       245.79649206895007       245.79649206893876
0.1                       0.07333333333333333      249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997       249.99999999999997
0.09562132806037485       0.07540957378446095      348.6381990759699        242.39613129238523       242.39613128849356       242.39613128830032       242.3961312877713        242.39613128789523       242.39613128778          242.3961312878319        242.39613128779948       242.39613128781676       242.3961312878069
0.1                       0.08                     250                      250                      250                      250                      250                      250                      250                      250                      250                      250                      250
0.010147210079711224      0.01323101291913731      350.03627528414796       380.2584516462601        380.2584516373558        380.2584516369138        380.25845163570335       380.258451635987         380.25845163572336       380.2584516358422        380.25845163576747       380.25845163580703       380.2584516357851
0.01490620192802988       0.010259630589066364     350.00552028615584       371.34759644025047       371.3475964274261        371.3475964267895        371.3475964250463        371.3475964254546        371.3475964250749        371.347596425246         371.34759642513865       371.3475964251955        371.3475964251636
0.010631606381761647      0.019873118372875906     350.0265854831443        378.8196599535147        378.81965994420244       378.8196599437401        378.8196599424743        378.8196599427708        378.8196599424951        378.81965994261947       378.8196599425415        378.81965994258286       378.8196599425596
0.016640104903938486      0.0163937256290141       350.0052244892608        367.52187983544076       367.5218798212564        367.5218798205521        367.52187981862426       367.52187981907576       367.521879818656         367.5218798188452        367.5218798187265        367.5218798187894        367.5218798187542
0.020466515708059692      0.01067210156774135      350.0006423406269        360.91138042260076       360.91138040556484       360.9113804047192        360.9113804024035        360.9113804029459        360.91138040244135       360.9113804026687        360.9113804025263        360.91138040260176       360.91138040255925
0.010599925670194459      0.02655439397023938      350.02153331875957       378.1361801044796        378.1361800951958        378.1361800947349        378.136180093473         378.1361800937685        378.13618009349375       378.13618009361784       378.1361800935401        378.13618009358123       378.13618009355804
0.01593428640595694       0.023151039289034628     350.00451965198266       367.95818781636734       367.9581878027347        367.95818780205786       367.95818780020494       367.95818780063877       367.9581878002353        367.9581878004173        367.9581878003033        367.95818780036365       367.95818780032965
0.010595708297182226      0.033245784632779156     350.02051581875554       377.1146108230418        377.1146108137638        377.1146108133033        377.11461081204203       377.11461081233733       377.11461081206284       377.11461081218675       377.1146108121091        377.11461081215003       377.11461081212684
0.02074286562133209       0.02108199065563396      350.00040814277503       359.0122171326212        359.01221711539233       359.01221711453695       359.01221711219523       359.0122171127436        359.0122171122335        359.0122171124634        359.01221711231926       359.0122171123958        359.0122171123527
0.023578593892098793      0.016443400896863303     350.00023546855545       354.4761917050192        354.4761916858466        354.47619168489473       354.47619168228863       354.47619168289907       354.47619168233126       354.47619168258717       354.4761916824269        354.4761916825119        354.47619168246393
0.026809079020770638      0.010882191548616851     350.00004831211714       349.33315996079887       349.33315993959803       349.3331599385455        349.33315993566384       349.33315993633886       349.33315993571085       349.3331599359938        349.33315993581664       349.3331599359106        349.3331599358574
0.010648168871663987      0.039965258690763415     350.0188266615357        375.61296657612723       375.6129665668072        375.6129665663445        375.6129665650774        375.61296656537417       375.6129665650985        375.61296656522285       375.61296656514486       375.6129665651861        375.6129665651625
